Time resolution;Experience;Variable;Model;Availability
monthly;ssp4_3_4;toa_incident_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp4_3_4;total_cloud_cover_percentage;ec_earth3_cc;Yes
monthly;ssp4_3_4;total_cloud_cover_percentage;ec_earth3_veg_lr;No
monthly;ssp4_3_4;total_cloud_cover_percentage;cesm2;No
monthly;ssp4_3_4;total_cloud_cover_percentage;cesm2_waccm;No
monthly;ssp4_3_4;total_cloud_cover_percentage;cnrm_cm6_1_hr;No
monthly;ssp4_3_4;total_cloud_cover_percentage;mri_esm2_0;Yes
monthly;ssp4_3_4;total_cloud_cover_percentage;ukesm1_0_ll;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;ec_earth3_cc;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;ec_earth3_veg_lr;No
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;cesm2;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;cesm2_waccm;No
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp2_4_5;surface_downwelling_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp2_4_5;toa_incident_shortwave_radiation;ec_earth3_cc;No
monthly;ssp2_4_5;toa_incident_shortwave_radiation;ec_earth3_veg_lr;No
monthly;ssp2_4_5;toa_incident_shortwave_radiation;cesm2;Yes
monthly;ssp2_4_5;toa_incident_shortwave_radiation;cesm2_waccm;No
monthly;ssp2_4_5;toa_incident_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp2_4_5;toa_incident_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp2_4_5;toa_incident_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp2_4_5;total_cloud_cover_percentage;ec_earth3_cc;No
monthly;ssp2_4_5;total_cloud_cover_percentage;ec_earth3_veg_lr;No
monthly;ssp2_4_5;total_cloud_cover_percentage;cesm2;Yes
monthly;ssp2_4_5;total_cloud_cover_percentage;cesm2_waccm;No
monthly;ssp2_4_5;total_cloud_cover_percentage;cnrm_cm6_1_hr;Yes
monthly;ssp2_4_5;total_cloud_cover_percentage;mri_esm2_0;Yes
monthly;ssp2_4_5;total_cloud_cover_percentage;ukesm1_0_ll;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;ec_earth3_cc;No
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;ec_earth3_veg_lr;No
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;cesm2;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;cesm2_waccm;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp3_7_0;surface_downwelling_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp3_7_0;toa_incident_shortwave_radiation;ec_earth3_cc;No
monthly;ssp3_7_0;toa_incident_shortwave_radiation;ec_earth3_veg_lr;No
monthly;ssp3_7_0;toa_incident_shortwave_radiation;cesm2;Yes
monthly;ssp3_7_0;toa_incident_shortwave_radiation;cesm2_waccm;Yes
monthly;ssp3_7_0;toa_incident_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp3_7_0;toa_incident_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp3_7_0;toa_incident_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp3_7_0;total_cloud_cover_percentage;ec_earth3_cc;No
monthly;ssp3_7_0;total_cloud_cover_percentage;ec_earth3_veg_lr;No
monthly;ssp3_7_0;total_cloud_cover_percentage;cesm2;Yes
monthly;ssp3_7_0;total_cloud_cover_percentage;cesm2_waccm;Yes
monthly;ssp3_7_0;total_cloud_cover_percentage;cnrm_cm6_1_hr;Yes
monthly;ssp3_7_0;total_cloud_cover_percentage;mri_esm2_0;Yes
monthly;ssp3_7_0;total_cloud_cover_percentage;ukesm1_0_ll;Yes
monthly;ssp5_8_5;surface_downwelling_shortwave_radiation;ec_earth3_cc;No
monthly;ssp5_8_5;surface_downwelling_shortwave_radiation;ec_earth3_veg_lr;No
monthly;ssp5_8_5;surface_downwelling_shortwave_radiation;cesm2;Yes
monthly;ssp5_8_5;surface_downwelling_shortwave_radiation;cesm2_waccm;No
monthly;ssp5_8_5;surface_downwelling_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp5_8_5;surface_downwelling_shortwave_radiation;mri_esm2_0;Yes
monthly;ssp5_8_5;surface_downwelling_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp5_8_5;toa_incident_shortwave_radiation;ec_earth3_cc;No
monthly;ssp5_8_5;toa_incident_shortwave_radiation;ec_earth3_veg_lr;No
monthly;ssp5_8_5;toa_incident_shortwave_radiation;cesm2;Yes
monthly;ssp5_8_5;toa_incident_shortwave_radiation;cesm2_waccm;No
monthly;ssp5_8_5;toa_incident_shortwave_radiation;cnrm_cm6_1_hr;Yes
monthly;ssp5_8_5;toa_incident_shortwave_radiation;mri_esm2_0;No
monthly;ssp5_8_5;toa_incident_shortwave_radiation;ukesm1_0_ll;Yes
monthly;ssp5_8_5;total_cloud_cover_percentage;ec_earth3_cc;No
monthly;ssp5_8_5;total_cloud_cover_percentage;ec_earth3_veg_lr;No
monthly;ssp5_8_5;total_cloud_cover_percentage;cesm2;Yes
monthly;ssp5_8_5;total_cloud_cover_percentage;cesm2_waccm;No
monthly;ssp5_8_5;total_cloud_cover_percentage;cnrm_cm6_1_hr;Yes
monthly;ssp5_8_5;total_cloud_cover_percentage;mri_esm2_0;Yes
monthly;ssp5_8_5;total_cloud_cover_percentage;ukesm1_0_ll;Yes
daily;historical;precipitation;ec_earth3_cc;No
daily;historical;precipitation;ec_earth3_veg_lr;No
daily;historical;precipitation;cesm2;Yes
daily;historical;precipitation;cesm2_waccm;Yes
daily;historical;precipitation;cnrm_cm6_1_hr;Yes
daily;historical;precipitation;mri_esm2_0;Yes
daily;historical;precipitation;ukesm1_0_ll;Yes
daily;historical;near_surface_air_temperature;ec_earth3_cc;No
daily;historical;near_surface_air_temperature;ec_earth3_veg_lr;No
daily;historical;near_surface_air_temperature;cesm2;Yes
daily;historical;near_surface_air_temperature;cesm2_waccm;Yes
daily;historical;near_surface_air_temperature;cnrm_cm6_1_hr;Yes
daily;historical;near_surface_air_temperature;mri_esm2_0;Yes
daily;historical;near_surface_air_temperature;ukesm1_0_ll;Yes
daily;historical;near_surface_wind_speed;ec_earth3_cc;No
daily;historical;near_surface_wind_speed;ec_earth3_veg_lr;No
daily;historical;near_surface_wind_speed;cesm2;Yes
daily;historical;near_surface_wind_speed;cesm2_waccm;Yes
daily;historical;near_surface_wind_speed;cnrm_cm6_1_hr;Yes
daily;historical;near_surface_wind_speed;mri_esm2_0;Yes
daily;historical;near_surface_wind_speed;ukesm1_0_ll;Yes
daily;historical;near_surface_specific_humidity;ec_earth3_cc;No
daily;historical;near_surface_specific_humidity;ec_earth3_veg_lr;No
daily;historical;near_surface_specific_humidity;cesm2;Yes
daily;historical;near_surface_specific_humidity;cesm2_waccm;Yes
daily;historical;near_surface_specific_humidity;cnrm_cm6_1_hr;Yes
daily;historical;near_surface_specific_humidity;mri_esm2_0;Yes
daily;historical;near_surface_specific_humidity;ukesm1_0_ll;Yes
daily;historical;daily_maximum_near_surface_air_temperature;ec_earth3_cc;No
daily;historical;daily_maximum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;historical;daily_maximum_near_surface_air_temperature;cesm2;No
daily;historical;daily_maximum_near_surface_air_temperature;cesm2_waccm;No
daily;historical;daily_maximum_near_surface_air_temperature;cnrm_cm6_1_hr;Yes
daily;historical;daily_maximum_near_surface_air_temperature;mri_esm2_0;Yes
daily;historical;daily_maximum_near_surface_air_temperature;ukesm1_0_ll;Yes
daily;historical;daily_minimum_near_surface_air_temperature;ec_earth3_cc;No
daily;historical;daily_minimum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;historical;daily_minimum_near_surface_air_temperature;cesm2;No
daily;historical;daily_minimum_near_surface_air_temperature;cesm2_waccm;No
daily;historical;daily_minimum_near_surface_air_temperature;cnrm_cm6_1_hr;Yes
daily;historical;daily_minimum_near_surface_air_temperature;mri_esm2_0;Yes
daily;historical;daily_minimum_near_surface_air_temperature;ukesm1_0_ll;Yes
daily;ssp4_3_4;precipitation;ec_earth3_cc;Yes
daily;ssp4_3_4;precipitation;ec_earth3_veg_lr;No
daily;ssp4_3_4;precipitation;cesm2;No
daily;ssp4_3_4;precipitation;cesm2_waccm;No
daily;ssp4_3_4;precipitation;cnrm_cm6_1_hr;No
daily;ssp4_3_4;precipitation;mri_esm2_0;Yes
daily;ssp4_3_4;precipitation;ukesm1_0_ll;Yes
daily;ssp4_3_4;near_surface_air_temperature;ec_earth3_cc;Yes
daily;ssp4_3_4;near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp4_3_4;near_surface_air_temperature;cesm2;No
daily;ssp4_3_4;near_surface_air_temperature;cesm2_waccm;No
daily;ssp4_3_4;near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp4_3_4;near_surface_air_temperature;mri_esm2_0;Yes
daily;ssp4_3_4;near_surface_air_temperature;ukesm1_0_ll;Yes
daily;ssp4_3_4;near_surface_wind_speed;ec_earth3_cc;Yes
daily;ssp4_3_4;near_surface_wind_speed;ec_earth3_veg_lr;No
daily;ssp4_3_4;near_surface_wind_speed;cesm2;No
daily;ssp4_3_4;near_surface_wind_speed;cesm2_waccm;No
daily;ssp4_3_4;near_surface_wind_speed;cnrm_cm6_1_hr;No
daily;ssp4_3_4;near_surface_wind_speed;mri_esm2_0;Yes
daily;ssp4_3_4;near_surface_wind_speed;ukesm1_0_ll;Yes
daily;ssp4_3_4;near_surface_specific_humidity;ec_earth3_cc;Yes
daily;ssp4_3_4;near_surface_specific_humidity;ec_earth3_veg_lr;No
daily;ssp4_3_4;near_surface_specific_humidity;cesm2;No
daily;ssp4_3_4;near_surface_specific_humidity;cesm2_waccm;No
daily;ssp4_3_4;near_surface_specific_humidity;cnrm_cm6_1_hr;No
daily;ssp4_3_4;near_surface_specific_humidity;mri_esm2_0;Yes
daily;ssp4_3_4;near_surface_specific_humidity;ukesm1_0_ll;Yes
daily;ssp4_3_4;daily_maximum_near_surface_air_temperature;ec_earth3_cc;Yes
daily;ssp4_3_4;daily_maximum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp4_3_4;daily_maximum_near_surface_air_temperature;cesm2;No
daily;ssp4_3_4;daily_maximum_near_surface_air_temperature;cesm2_waccm;No
daily;ssp4_3_4;daily_maximum_near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp4_3_4;daily_maximum_near_surface_air_temperature;mri_esm2_0;Yes
daily;ssp4_3_4;daily_maximum_near_surface_air_temperature;ukesm1_0_ll;No
daily;ssp4_3_4;daily_minimum_near_surface_air_temperature;ec_earth3_cc;Yes
daily;ssp4_3_4;daily_minimum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp4_3_4;daily_minimum_near_surface_air_temperature;cesm2;No
daily;ssp4_3_4;daily_minimum_near_surface_air_temperature;cesm2_waccm;No
daily;ssp4_3_4;daily_minimum_near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp4_3_4;daily_minimum_near_surface_air_temperature;mri_esm2_0;Yes
daily;ssp4_3_4;daily_minimum_near_surface_air_temperature;ukesm1_0_ll;Yes
daily;ssp2_4_5;precipitacion;ec_earth3_cc;No
daily;ssp2_4_5;precipitacion;ec_earth3_veg_lr;No
daily;ssp2_4_5;precipitacion;cesm2;No
daily;ssp2_4_5;precipitacion;cesm2_waccm;No
daily;ssp2_4_5;precipitacion;cnrm_cm6_1_hr;No
daily;ssp2_4_5;precipitacion;mri_esm2_0;No
daily;ssp2_4_5;precipitacion;ukesm1_0_ll;No
daily;ssp2_4_5;near_surface_air_temperature;ec_earth3_cc;No
daily;ssp2_4_5;near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp2_4_5;near_surface_air_temperature;cesm2;No
daily;ssp2_4_5;near_surface_air_temperature;cesm2_waccm;No
daily;ssp2_4_5;near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp2_4_5;near_surface_air_temperature;mri_esm2_0;No
daily;ssp2_4_5;near_surface_air_temperature;ukesm1_0_ll;No
daily;ssp2_4_5;near_surface_wind_speed;ec_earth3_cc;No
daily;ssp2_4_5;near_surface_wind_speed;ec_earth3_veg_lr;No
daily;ssp2_4_5;near_surface_wind_speed;cesm2;No
daily;ssp2_4_5;near_surface_wind_speed;cesm2_waccm;No
daily;ssp2_4_5;near_surface_wind_speed;cnrm_cm6_1_hr;No
daily;ssp2_4_5;near_surface_wind_speed;mri_esm2_0;No
daily;ssp2_4_5;near_surface_wind_speed;ukesm1_0_ll;No
daily;ssp2_4_5;near_surface_specific_humidity;ec_earth3_cc;No
daily;ssp2_4_5;near_surface_specific_humidity;ec_earth3_veg_lr;No
daily;ssp2_4_5;near_surface_specific_humidity;cesm2;No
daily;ssp2_4_5;near_surface_specific_humidity;cesm2_waccm;No
daily;ssp2_4_5;near_surface_specific_humidity;cnrm_cm6_1_hr;No
daily;ssp2_4_5;near_surface_specific_humidity;mri_esm2_0;No
daily;ssp2_4_5;near_surface_specific_humidity;ukesm1_0_ll;No
daily;ssp2_4_5;daily_maximum_near_surface_air_temperature;ec_earth3_cc;No
daily;ssp2_4_5;daily_maximum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp2_4_5;daily_maximum_near_surface_air_temperature;cesm2;No
daily;ssp2_4_5;daily_maximum_near_surface_air_temperature;cesm2_waccm;No
daily;ssp2_4_5;daily_maximum_near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp2_4_5;daily_maximum_near_surface_air_temperature;mri_esm2_0;No
daily;ssp2_4_5;daily_maximum_near_surface_air_temperature;ukesm1_0_ll;No
daily;ssp2_4_5;daily_minimum_near_surface_air_temperature;ec_earth3_cc;No
daily;ssp2_4_5;daily_minimum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp2_4_5;daily_minimum_near_surface_air_temperature;cesm2;No
daily;ssp2_4_5;daily_minimum_near_surface_air_temperature;cesm2_waccm;No
daily;ssp2_4_5;daily_minimum_near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp2_4_5;daily_minimum_near_surface_air_temperature;mri_esm2_0;No
daily;ssp2_4_5;daily_minimum_near_surface_air_temperature;ukesm1_0_ll;No
daily;ssp3_7_0;precipitacion;ec_earth3_cc;No
daily;ssp3_7_0;precipitacion;ec_earth3_veg_lr;No
daily;ssp3_7_0;precipitacion;cesm2;No
daily;ssp3_7_0;precipitacion;cesm2_waccm;No
daily;ssp3_7_0;precipitacion;cnrm_cm6_1_hr;No
daily;ssp3_7_0;precipitacion;mri_esm2_0;No
daily;ssp3_7_0;precipitacion;ukesm1_0_ll;No
daily;ssp3_7_0;near_surface_air_temperature;ec_earth3_cc;No
daily;ssp3_7_0;near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp3_7_0;near_surface_air_temperature;cesm2;No
daily;ssp3_7_0;near_surface_air_temperature;cesm2_waccm;No
daily;ssp3_7_0;near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp3_7_0;near_surface_air_temperature;mri_esm2_0;No
daily;ssp3_7_0;near_surface_air_temperature;ukesm1_0_ll;No
daily;ssp3_7_0;near_surface_wind_speed;ec_earth3_cc;No
daily;ssp3_7_0;near_surface_wind_speed;ec_earth3_veg_lr;No
daily;ssp3_7_0;near_surface_wind_speed;cesm2;No
daily;ssp3_7_0;near_surface_wind_speed;cesm2_waccm;No
daily;ssp3_7_0;near_surface_wind_speed;cnrm_cm6_1_hr;No
daily;ssp3_7_0;near_surface_wind_speed;mri_esm2_0;No
daily;ssp3_7_0;near_surface_wind_speed;ukesm1_0_ll;No
daily;ssp3_7_0;near_surface_specific_humidity;ec_earth3_cc;No
daily;ssp3_7_0;near_surface_specific_humidity;ec_earth3_veg_lr;No
daily;ssp3_7_0;near_surface_specific_humidity;cesm2;No
daily;ssp3_7_0;near_surface_specific_humidity;cesm2_waccm;No
daily;ssp3_7_0;near_surface_specific_humidity;cnrm_cm6_1_hr;No
daily;ssp3_7_0;near_surface_specific_humidity;mri_esm2_0;No
daily;ssp3_7_0;near_surface_specific_humidity;ukesm1_0_ll;No
daily;ssp3_7_0;daily_maximum_near_surface_air_temperature;ec_earth3_cc;No
daily;ssp3_7_0;daily_maximum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp3_7_0;daily_maximum_near_surface_air_temperature;cesm2;No
daily;ssp3_7_0;daily_maximum_near_surface_air_temperature;cesm2_waccm;No
daily;ssp3_7_0;daily_maximum_near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp3_7_0;daily_maximum_near_surface_air_temperature;mri_esm2_0;No
daily;ssp3_7_0;daily_maximum_near_surface_air_temperature;ukesm1_0_ll;No
daily;ssp3_7_0;daily_minimum_near_surface_air_temperature;ec_earth3_cc;No
daily;ssp3_7_0;daily_minimum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp3_7_0;daily_minimum_near_surface_air_temperature;cesm2;No
daily;ssp3_7_0;daily_minimum_near_surface_air_temperature;cesm2_waccm;No
daily;ssp3_7_0;daily_minimum_near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp3_7_0;daily_minimum_near_surface_air_temperature;mri_esm2_0;No
daily;ssp3_7_0;daily_minimum_near_surface_air_temperature;ukesm1_0_ll;No
daily;ssp5_8_5;precipitacion;ec_earth3_cc;No
daily;ssp5_8_5;precipitacion;ec_earth3_veg_lr;No
daily;ssp5_8_5;precipitacion;cesm2;No
daily;ssp5_8_5;precipitacion;cesm2_waccm;No
daily;ssp5_8_5;precipitacion;cnrm_cm6_1_hr;No
daily;ssp5_8_5;precipitacion;mri_esm2_0;No
daily;ssp5_8_5;precipitacion;ukesm1_0_ll;No
daily;ssp5_8_5;near_surface_air_temperature;ec_earth3_cc;No
daily;ssp5_8_5;near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp5_8_5;near_surface_air_temperature;cesm2;No
daily;ssp5_8_5;near_surface_air_temperature;cesm2_waccm;No
daily;ssp5_8_5;near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp5_8_5;near_surface_air_temperature;mri_esm2_0;No
daily;ssp5_8_5;near_surface_air_temperature;ukesm1_0_ll;No
daily;ssp5_8_5;near_surface_wind_speed;ec_earth3_cc;No
daily;ssp5_8_5;near_surface_wind_speed;ec_earth3_veg_lr;No
daily;ssp5_8_5;near_surface_wind_speed;cesm2;No
daily;ssp5_8_5;near_surface_wind_speed;cesm2_waccm;No
daily;ssp5_8_5;near_surface_wind_speed;cnrm_cm6_1_hr;No
daily;ssp5_8_5;near_surface_wind_speed;mri_esm2_0;No
daily;ssp5_8_5;near_surface_wind_speed;ukesm1_0_ll;No
daily;ssp5_8_5;near_surface_specific_humidity;ec_earth3_cc;No
daily;ssp5_8_5;near_surface_specific_humidity;ec_earth3_veg_lr;No
daily;ssp5_8_5;near_surface_specific_humidity;cesm2;No
daily;ssp5_8_5;near_surface_specific_humidity;cesm2_waccm;No
daily;ssp5_8_5;near_surface_specific_humidity;cnrm_cm6_1_hr;No
daily;ssp5_8_5;near_surface_specific_humidity;mri_esm2_0;No
daily;ssp5_8_5;near_surface_specific_humidity;ukesm1_0_ll;No
daily;ssp5_8_5;daily_maximum_near_surface_air_temperature;ec_earth3_cc;No
daily;ssp5_8_5;daily_maximum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp5_8_5;daily_maximum_near_surface_air_temperature;cesm2;No
daily;ssp5_8_5;daily_maximum_near_surface_air_temperature;cesm2_waccm;No
daily;ssp5_8_5;daily_maximum_near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp5_8_5;daily_maximum_near_surface_air_temperature;mri_esm2_0;No
daily;ssp5_8_5;daily_maximum_near_surface_air_temperature;ukesm1_0_ll;No
daily;ssp5_8_5;daily_minimum_near_surface_air_temperature;ec_earth3_cc;No
daily;ssp5_8_5;daily_minimum_near_surface_air_temperature;ec_earth3_veg_lr;No
daily;ssp5_8_5;daily_minimum_near_surface_air_temperature;cesm2;No
daily;ssp5_8_5;daily_minimum_near_surface_air_temperature;cesm2_waccm;No
daily;ssp5_8_5;daily_minimum_near_surface_air_temperature;cnrm_cm6_1_hr;No
daily;ssp5_8_5;daily_minimum_near_surface_air_temperature;mri_esm2_0;No
daily;ssp5_8_5;daily_minimum_near_surface_air_temperature;ukesm1_0_ll;No
